,text,target
1,special request come to huntington memorial hospital been here days with my daughter who had pneumonia,0
2,lefevr lol i am soo hungry,0
3,i missed the whole show,0
4,no thank you too much fame,0
5,sadly yes so yes people read this,0
6,i don t have but i really like all the old songs,0
7,awww thanks still feel really bad about that carelessmistakei mstillkickingmyselfabout,0
8,none of my friends do twitter so i can t tell them how addicting it really is,0
9,teen he got surgery on his ear so he has to wear it so he doesn t scratch it and stuff,0
10,did i mention i am dying to go to see beyonce uggghhhh,0
11,just remembered the last episode of quantum leap it was sad,0
12,spent the past two days in atlanta tiredd as hell,0
13,i m sorry you are having a tough time,0
14,i was down at the store and all the peaches are green as can be i mean they are completely rock hard,0
15,it s so hot and humid in here that i m getting sleepy,0
16,somebody text or go on aim im so bored,0
17,sadly spider i just reminded myself how much older i am than him too the span is over a decade boooo,0
18,watching wipeout at my sisters house baby has been asleep since about she is exhausted fever since yesterday,0
19,kaegen is so not going to sleep boooo she s soooo hyper its crazy so i turned on some smooth music hoping it ll knock her out,0
20,my friends are lame how am i suppose to experience twitter in it s full potential if they refuse to make accounts the movie was just ok,0
21,dr horrible disappointed me,0
22,why meme have to go segamat now,0
23,is missing him ugghhh he has a new game he want tlk to me,0
24,its am and i can t go to sleep i am scared of what i might dream because then i will miss him even more,0
25,and depressed don t kno why just unhappy,0
26,voce who would of ever thought tweeting would lead to such a rucus,0
27,just found out from reading the fuqua alumni magazine that someone from my class passed away unexpectedly no info though sad,0
28,cant sleep i am so tired but i just cant fall asleep i dont know what to do ok that was a lie i need a break and don t say count sheep,0
29,congrats you re sooooo lucky,0
30,i loveee it when u smack my ass missash dont move,0
31,damn hella fucked up my mood,0
32,has a bug bite on her elbow,0
33,am so not sleepy and i should be will try again in just a moment,0
34,and my dad s diabetic so that song is close to my heart lines vines and trying times can t choose i love the entire album kk done,0
35,im going to sleep early tonight im so tired moro gotta wake up earlier than usual,0
36,watching my bloody valentine lol unfortunately not in d,0
37,hugs,0
38,dear god did you cry,0
39,i miss callin to trey songz he could have been followin me on twitter,0
40,why does this gotta happen to us,0
41,protip there s a difference between chocolate milk and chocolate drink and an unpleasant one at that,0
42,ohh why was i not invited,0
43,i think quitting means we give up that option,0
44,missssssssinggggggg ceeeeeceeee,0
45,i m crying so hard i really hope she isn t sick she s my best friend i love her,0
46,damn texas you almost did it congrats to lsu though,0
47,no more whoopie pies,0
48,is feeling sickly going to a bonfire though yeah come,0
49,ahh i guess nothing to do tonight,0
50,you re not serious are you,0
51,how fun wish i could come down i love watching the crazy monkeys that swing around,0
52,woke up to the worst unknown feeling ever,0
53,man i wish i could see ashley i need her right now im not gonna see her for another weeks help,0
54,could not get to sync facebook and twitter,0
55,crying and missing my jinx he was such a good cat he didn t deserve to go i can t believe he s really gone,0
56,sorry u feel that way walking away aint easy,0
57,i lost at monopoly,0
58,wow call me gullible and naive but are you okay,0
59,i m fuuuucking dieing i just sneezed like times ffuck alleergies,0
60,there were no mexican food trucks,0
61,followers following so not cool,0
62,i need a hugeass confidence booster,0
63,used an entire bobbin of thread before i noticed the tension was off while i was meandering this quilt ripping it all out now,0
64,freak dangit mom went to bed so she can t cover me to finish the oneshot it ll have to wait until tomorrow,0
65,why is my church not my church anymore,0
66,i won t be there next week have a prior engagement think i will be protecting tuesdays with my life from here on in,0
67,i wish to be someones whole world and for them to tell me they love me things i can only wish for unfortunately,0
68,it s discouraging to dig infos about recession,0
69,is feeling a tad bit sad and a little depressed,0
70,bout haha but i forgot most of the names,0
71,tweaked my back ow,0
72,tomorrow is going to suuuuuuuuck anatomy midterm,0
73,will most definately miss youu,0
74,me too and while the battle was fierce i ultimately won until fippy finished me off re,0
75,tweetdeck is weired it takes an old location and posts to the wrong twitter account,0
76,me not hard core day trader,0
77,baking strawberry lemon flavor cupcakes i burned some strawberry cupcakes,0
78,no bj s and my truck is acting up,0
79,damn just did the math and it turns out i more then likey will not be able to get the netbook i want for anouther two weeks damn rent,0
80,no weird cravings yet though mom doesn t seem to like ethnic food much anymore which is a bummer because i love asian food,0
81,awww you really don t like it,0
82,unpacking some shit this duffle is heavier than me,0
83,here s the only ones i know of u were there omg i so would ve look u if i had known that,0
84,lol he s in miami for a film festival then off to la i miss him goin through serious withdrawl,0
85,if theres not a jamba juice in florida i will be cranky i haven t had one since last summer,0
86,call me a sucker if you want but i walked in my room and saw my sisters cap and gown and started crying,0
87,arms burnnn ahh so much pain today will be takin another perk when i crash out ouchies xx,0
88,oh no for real that s sad,0
89,oh how i miss yum cha eat some extra for me,0
90,i just ate some bad fruit i think,0
91,i hate being alone i m so bored watching forensic files,0
92,i want my camera naowww mann why did i have to get the stupid super saver shipping,0
93,man i wish i saw your tweet earlier my roomie and i made plans to go to a dance class together tmrw,0
94,shit i m so sorry samia i love you,0
95,miss you too babycakes,0
96,please don t go,0
97,my paycheck is so tiny,0
98,feria dont leavee i want more rainy dayss hahah,0
99,i think i have an ear infection pooey looking forward to the weekend however,0
100,i guess she is a chicago native i guess is a better listener sorry darlin,0
101,whats your name on stickam can t find you anymore,0
102,almost bit into a chocolate mousse cake after brushing my teeth for the night had to put it back in fridge for tomorrow evening sigh,0
103,aww you weigh less than me,0
104,bout to pick up sum pizza i know its late,0
105,,0
106,what the heck ive taken pills today why do i still feel like crap,0
107,ok time to see a dr about this finger so bad its not letting me sleep omg sucktastic whyyyyyy did it do this,0
108,ugh lifes a bitch wishing things could just go great for me,0
109,goin chillz wit nayiris tmrw i will miss her last day i ll ever c her kentucky is pretty far pero primero se va a nicaragua,0
110,the brotherhood has lost another kuvasz lover this week,0
111,why are you not standing,0
112,unfortunately people are very insencitive about world news until it hits home,0
113,sitting on the couch watching tv because im sick,0
114,don t hate me but im taking two night courses next semester monday tuesday wednesday thursday are occupied,0
115,yesterday s bandung trip was awesomeeee well it would ve been more awesome if i wasn t sick,0
116,i miss it too come get me and we can go back together i miss in n out,0
117,has my tivo betrayed me did the curving bullets and car vs rain mythbusters episodes air i don t seem to have them recorded,0
118,someone scratched my whip,0
119,call me a sucker if you want but i walked in my room and saw my sisters cap and gown and started crying,0
120,reading manga before going to bed ill have to go to work tomorrow boo i just hope my throat can handle it,0
121,why cant i sleep,0
122,i m gonna need google maps to cooperate,0
123,damn its back to kill me but i want to go to walmart to buy shipping envelopes,0
124,goodbye blk hair loving the lighter locks tho,0
125,u didn t save me any oh well i would have saved you some lol,0
126,don t you hate it when people take something the wrong way and then go offline before you can really explain,0
127,que i slept over a friend s house last night and my iphone died so i was twitter less,0
128,unfortunately i will be at work at that time hun i missed almost a week and a half in the office so i have to play catch up,0
129,that happened to me once and he was old and very dirty,0
130,just got back from the hospital rip steven love ya,0
131,watching americas got talent nick cannon is an irritating amateur poor mariah,0
132,sleepy after lunch eaten too much,0
133,true i just figured it would be easier if i got it the face frame she messed it up the lady tonight fixed it thanks goodness,0
134,it s so complicated huaaaa,0
135,my computer is messed up so its gonna be me and twitter for several hours someone text me please,0
136,here s my etsy shop i m having focus problems,0
137,sicky baby needs to feel better and not cry,0
138,the real harley is getting sleepy,0
139,my log inpage wont even load,0
140,mira i can t come to class i have a fever gonna stay in bed next week,0
141,yeah that sucks,0
142,jtv yeah me too me too at some points it s all we have left,0
