ngramme	nfeatures	precision	test_time
1	3000	61.82	1.04
1	6000	61.77	1.02
1	9000	62.27	1.02
1	12000	61.82	1.01
1	15000	61.82	1.01
1	18000	61.82	1.00
1	21000	61.82	1.05
1	24000	61.82	0.99
1	27000	61.82	1.01
1	30000	61.82	1.00
2	3000	60.28	1.81
2	6000	60.33	1.81
2	9000	60.88	1.82
2	12000	61.60	1.89
2	15000	61.38	1.87
2	18000	61.71	1.80
2	21000	61.60	1.88
2	24000	61.82	1.80
2	27000	61.66	1.82
2	30000	61.82	1.94
3	3000	59.61	2.62
3	6000	60.11	2.64
3	9000	60.50	2.68
3	12000	60.88	2.67
3	15000	61.16	2.71
3	18000	61.49	2.72
3	21000	61.16	2.66
3	24000	61.71	2.62
3	27000	61.88	2.69
3	30000	61.66	2.67
