ngramme	nfeatures	precision	test_time
1	3000	61.60	1.05
1	6000	61.16	1.04
1	9000	60.88	1.05
1	12000	60.99	1.05
1	15000	60.99	1.02
1	18000	60.99	1.04
1	21000	60.99	1.05
1	24000	60.99	1.14
1	27000	60.99	1.16
1	30000	60.99	1.02
2	3000	61.88	1.80
2	6000	62.60	1.81
2	9000	62.38	1.81
2	12000	62.98	1.82
2	15000	62.71	1.83
2	18000	62.65	1.89
2	21000	62.76	1.84
2	24000	62.76	1.84
2	27000	62.43	1.87
2	30000	62.10	1.92
3	3000	61.77	2.62
3	6000	62.38	2.74
3	9000	62.65	2.72
3	12000	62.65	2.62
3	15000	62.65	2.79
3	18000	62.49	2.91
3	21000	62.49	2.70
3	24000	62.43	2.71
3	27000	62.32	2.76
3	30000	62.43	2.73
