ngramme	nfeatures	precision	test_time
1	3000	77.32	3.63
1	6000	76.99	3.51
1	9000	77.15	3.78
1	12000	77.81	4.15
1	15000	77.81	4.09
1	18000	77.81	4.25
1	21000	77.81	4.46
1	24000	77.81	4.66
1	27000	77.81	4.74
1	30000	77.81	4.16
2	3000	79.64	5.74
2	6000	81.29	5.64
2	9000	78.97	7.06
2	12000	78.97	7.06
2	15000	79.97	8.58
2	18000	79.80	7.79
2	21000	80.13	6.77
2	24000	79.97	6.80
2	27000	80.79	7.33
2	30000	81.13	7.39
3	3000	79.47	5.77
3	6000	79.64	6.06
3	9000	79.80	6.66
3	12000	78.64	7.27
3	15000	78.97	7.89
3	18000	78.97	8.44
3	21000	79.14	8.61
3	24000	78.97	8.61
3	27000	78.81	8.91
3	30000	79.64	8.99
