ngramme	nfeatures	precision	test_time
1	3000	75.99	1.38
1	6000	76.66	1.46
1	9000	76.32	1.43
1	12000	76.16	1.56
1	15000	76.32	1.49
1	18000	76.32	1.55
1	21000	76.32	1.60
1	24000	76.32	1.70
1	27000	76.32	1.57
1	30000	76.32	1.60
2	3000	77.65	2.58
2	6000	78.31	2.71
2	9000	77.65	2.95
2	12000	77.48	2.85
2	15000	77.65	2.87
2	18000	78.15	2.73
2	21000	77.98	2.68
2	24000	77.48	2.77
2	27000	77.65	3.02
2	30000	77.65	2.90
3	3000	77.98	3.52
3	6000	77.81	3.54
3	9000	77.98	3.69
3	12000	77.65	3.84
3	15000	77.48	3.86
3	18000	77.65	3.92
3	21000	77.65	3.89
3	24000	76.99	3.97
3	27000	76.99	3.95
3	30000	76.99	4.10
