ngramme	nfeatures	precision	test_time
1	3000	62.54	3.23
1	6000	62.43	3.51
1	9000	62.60	4.27
1	12000	62.54	4.23
1	15000	62.60	4.65
1	18000	62.60	4.46
1	21000	62.60	4.55
1	24000	62.60	4.90
1	27000	62.60	4.58
1	30000	62.60	4.34
2	3000	62.15	4.49
2	6000	62.82	4.90
2	9000	62.82	5.24
2	12000	63.09	5.95
2	15000	62.93	6.42
2	18000	62.87	6.23
2	21000	63.04	6.41
2	24000	62.87	6.74
2	27000	62.87	6.41
2	30000	62.82	7.10
3	3000	62.21	4.80
3	6000	62.82	6.09
3	9000	62.71	6.61
3	12000	62.87	7.82
3	15000	62.82	6.78
3	18000	62.76	7.72
3	21000	62.82	8.75
3	24000	62.87	7.87
3	27000	63.04	8.80
3	30000	63.04	8.25
