ngramme	nfeatures	precision	test_time
1	3000	62.10	2.80
1	6000	62.10	3.03
1	9000	62.15	3.45
1	12000	62.32	3.19
1	15000	62.32	3.32
1	18000	62.32	3.36
1	21000	62.32	3.17
1	24000	62.32	3.27
1	27000	62.32	3.37
1	30000	62.32	3.48
2	3000	62.04	3.57
2	6000	61.93	3.75
2	9000	61.88	3.46
2	12000	62.38	3.55
2	15000	62.38	3.77
2	18000	62.21	3.92
2	21000	62.21	3.88
2	24000	62.21	3.96
2	27000	62.21	4.15
2	30000	62.21	4.20
3	3000	61.99	3.43
3	6000	62.04	3.62
3	9000	62.04	3.83
3	12000	61.99	3.85
3	15000	62.43	4.17
3	18000	62.32	4.22
3	21000	62.21	4.12
3	24000	62.21	4.34
3	27000	62.32	4.24
3	30000	62.32	4.31
