ngramme	nfeatures	precision	test_time
1	3000	61.27	1.06
1	6000	61.22	1.00
1	9000	61.05	1.03
1	12000	60.61	1.05
1	15000	60.61	1.04
1	18000	60.61	1.05
1	21000	60.61	1.19
1	24000	60.61	1.04
1	27000	60.61	1.01
1	30000	60.61	1.05
2	3000	61.93	1.54
2	6000	61.99	1.62
2	9000	61.44	1.58
2	12000	61.77	1.53
2	15000	61.38	1.74
2	18000	60.99	1.64
2	21000	60.99	1.53
2	24000	60.88	1.59
2	27000	60.72	1.57
2	30000	60.99	1.57
3	3000	61.88	1.76
3	6000	62.10	1.79
3	9000	61.44	1.78
3	12000	61.49	1.76
3	15000	60.99	1.76
3	18000	60.94	1.77
3	21000	60.88	1.77
3	24000	60.66	1.77
3	27000	60.72	1.77
3	30000	60.99	1.78
