ngramme	nfeatures	precision	test_time
1	3000	70.86	0.55
1	6000	71.36	0.54
1	9000	71.85	0.54
1	12000	72.52	0.55
1	15000	72.68	0.56
1	18000	72.68	0.55
1	21000	72.68	0.55
1	24000	72.68	0.56
1	27000	72.68	0.55
1	30000	72.68	0.56
2	3000	71.52	1.10
2	6000	71.52	1.05
2	9000	72.02	1.05
2	12000	71.85	1.15
2	15000	72.02	1.07
2	18000	71.36	1.07
2	21000	71.69	1.04
2	24000	71.19	1.03
2	27000	71.36	1.06
2	30000	72.02	1.08
3	3000	71.19	1.55
3	6000	71.36	1.54
3	9000	71.69	1.56
3	12000	71.03	1.53
3	15000	70.86	1.62
3	18000	71.03	1.60
3	21000	71.52	1.56
3	24000	71.19	1.60
3	27000	71.85	1.62
3	30000	71.85	1.65
