ngramme	nfeatures	precision	test_time
1	3000	75.17	0.98
1	6000	74.67	1.02
1	9000	75.33	1.04
1	12000	75.17	1.11
1	15000	75.66	1.08
1	18000	75.66	1.10
1	21000	75.66	1.10
1	24000	75.66	1.08
1	27000	75.66	1.09
1	30000	75.66	1.13
2	3000	75.33	1.59
2	6000	76.66	1.59
2	9000	76.82	1.60
2	12000	76.82	1.66
2	15000	76.99	1.71
2	18000	77.48	1.73
2	21000	76.66	1.71
2	24000	76.66	1.75
2	27000	76.66	1.76
2	30000	76.82	1.80
3	3000	75.50	2.09
3	6000	76.82	2.16
3	9000	76.99	2.13
3	12000	76.99	2.16
3	15000	76.99	2.23
3	18000	76.82	2.27
3	21000	76.99	2.37
3	24000	76.66	2.31
3	27000	76.49	2.54
3	30000	76.66	2.51
