ngramme	nfeatures	precision	test_time
1	3000	62.93	6.14
1	6000	63.15	6.67
1	9000	63.20	7.25
1	12000	63.20	7.81
1	15000	63.20	7.93
1	18000	63.20	7.82
1	21000	63.20	8.00
1	24000	63.20	8.01
1	27000	63.20	7.76
1	30000	63.20	8.13
2	3000	63.26	7.27
2	6000	63.59	8.73
2	9000	63.81	10.82
2	12000	64.14	11.61
2	15000	64.36	11.91
2	18000	64.09	12.94
2	21000	63.76	14.50
2	24000	63.65	13.78
2	27000	63.87	14.46
2	30000	63.70	14.22
3	3000	63.20	9.15
3	6000	63.26	10.19
3	9000	63.65	11.76
3	12000	63.37	12.35
3	15000	63.70	14.05
3	18000	62.98	15.14
3	21000	62.98	15.62
3	24000	63.15	16.99
3	27000	63.26	16.93
3	30000	63.09	15.64
