ngramme	nfeatures	precision	test_time
1	3000	62.76	3.67
1	6000	62.54	4.01
1	9000	62.76	4.26
1	12000	62.87	4.24
1	15000	62.87	4.04
1	18000	62.87	4.26
1	21000	62.87	4.12
1	24000	62.87	4.22
1	27000	62.87	4.48
1	30000	62.87	4.46
2	3000	62.60	4.89
2	6000	63.59	5.14
2	9000	63.54	5.24
2	12000	63.70	5.89
2	15000	63.70	5.67
2	18000	63.59	5.85
2	21000	63.59	5.80
2	24000	63.54	5.79
2	27000	63.65	5.89
2	30000	63.65	6.18
3	3000	62.71	6.01
3	6000	63.15	6.16
3	9000	63.31	6.65
3	12000	63.54	6.78
3	15000	63.15	6.59
3	18000	63.26	6.95
3	21000	63.09	6.88
3	24000	63.09	6.94
3	27000	63.43	7.18
3	30000	63.20	7.55
