ngramme	nfeatures	precision	test_time
1	3000	75.83	1.41
1	6000	75.83	1.55
1	9000	75.99	1.70
1	12000	75.83	1.63
1	15000	75.66	1.63
1	18000	75.66	1.61
1	21000	75.66	1.63
1	24000	75.66	1.63
1	27000	75.66	1.62
1	30000	75.66	1.68
2	3000	75.83	2.23
2	6000	76.16	2.23
2	9000	76.32	2.50
2	12000	76.49	2.54
2	15000	77.48	2.89
2	18000	77.15	2.82
2	21000	77.81	2.91
2	24000	77.81	3.04
2	27000	77.65	3.13
2	30000	77.81	3.12
3	3000	76.66	2.70
3	6000	76.16	2.97
3	9000	76.49	3.10
3	12000	77.48	3.43
3	15000	77.15	3.46
3	18000	77.15	3.44
3	21000	77.65	3.63
3	24000	77.48	3.92
3	27000	77.15	3.85
3	30000	77.65	3.98
