ngramme	nfeatures	precision	test_time
1	3000	73.68	0.62
1	6000	72.68	0.61
1	9000	71.85	0.58
1	12000	73.01	0.59
1	15000	72.85	0.55
1	18000	72.85	0.59
1	21000	72.85	0.61
1	24000	72.85	0.58
1	27000	72.85	0.57
1	30000	72.85	0.58
2	3000	73.18	1.11
2	6000	72.35	1.12
2	9000	73.01	1.13
2	12000	73.51	1.13
2	15000	73.84	1.13
2	18000	73.18	1.13
2	21000	73.01	1.15
2	24000	73.01	1.11
2	27000	73.34	1.16
2	30000	73.34	1.13
3	3000	72.68	1.67
3	6000	72.02	1.68
3	9000	73.01	1.66
3	12000	73.84	1.65
3	15000	73.18	1.67
3	18000	73.18	1.65
3	21000	73.34	1.67
3	24000	73.34	1.72
3	27000	72.68	1.66
3	30000	72.19	1.66
