ngramme	nfeatures	precision	test_time
1	3000	61.66	1.05
1	6000	61.27	1.04
1	9000	61.10	1.06
1	12000	60.72	1.08
1	15000	60.72	1.06
1	18000	60.72	1.09
1	21000	60.72	1.07
1	24000	60.72	1.09
1	27000	60.72	1.08
1	30000	60.72	1.05
2	3000	61.82	1.57
2	6000	62.04	1.57
2	9000	61.49	1.69
2	12000	61.49	1.77
2	15000	61.38	1.64
2	18000	61.05	1.57
2	21000	60.99	1.58
2	24000	60.77	1.59
2	27000	60.83	1.60
2	30000	60.83	1.74
3	3000	61.88	1.86
3	6000	61.88	1.83
3	9000	61.60	1.85
3	12000	61.44	1.80
3	15000	61.22	1.86
3	18000	60.99	1.88
3	21000	61.05	1.82
3	24000	60.77	1.86
3	27000	60.83	1.91
3	30000	60.88	1.92
