ngramme	nfeatures	precision	test_time
1	3000	61.88	1.04
1	6000	61.93	0.97
1	9000	62.38	0.97
1	12000	62.21	0.98
1	15000	62.04	1.00
1	18000	62.04	1.02
1	21000	62.04	1.00
1	24000	62.04	1.01
1	27000	62.04	1.01
1	30000	62.04	1.02
2	3000	60.17	1.84
2	6000	60.50	1.86
2	9000	61.05	1.85
2	12000	60.99	1.83
2	15000	60.94	1.84
2	18000	60.66	1.85
2	21000	61.22	1.85
2	24000	61.66	1.85
2	27000	61.88	1.79
2	30000	62.32	1.80
3	3000	60.11	2.86
3	6000	59.83	2.88
3	9000	60.44	2.71
3	12000	60.72	2.62
3	15000	60.66	2.61
3	18000	60.94	2.62
3	21000	61.10	2.63
3	24000	61.44	2.64
3	27000	61.60	2.65
3	30000	61.99	2.64
