ngramme	nfeatures	precision	test_time
1	3000	68.87	0.63
1	6000	65.73	0.59
1	9000	63.74	0.61
1	12000	63.08	0.57
1	15000	62.91	0.57
1	18000	62.91	0.59
1	21000	62.91	0.63
1	24000	62.91	0.62
1	27000	62.91	0.63
1	30000	62.91	0.63
2	3000	71.85	1.46
2	6000	70.86	1.47
2	9000	70.53	1.43
2	12000	70.53	1.36
2	15000	70.03	1.37
2	18000	68.54	1.36
2	21000	67.72	1.36
2	24000	67.72	1.44
2	27000	66.06	1.42
2	30000	65.73	1.42
3	3000	71.52	2.58
3	6000	71.19	2.71
3	9000	69.70	2.56
3	12000	70.53	2.61
3	15000	69.87	2.59
3	18000	70.03	2.70
3	21000	69.21	2.68
3	24000	68.87	2.75
3	27000	68.21	2.56
3	30000	68.38	2.59
